country,year,iso_code,population,gdp,co2,co2_per_capita,consumption_co2,consumption_co2_per_capita,cumulative_co2,share_global_co2,share_global_cumulative_co2,share_population,fair_share_ratio,trade_gap_pct,times_world_avg
Estonia,2023,EST,1367195.0,,8.744,6.396,12.585,9.205,1660.145,0.023,0.092,0.016896191129843575,5.44501416283705,43.927264409881076,1.358538657604078
Eswatini,2023,SWZ,1230507.0,,1.03,0.837,,,43.567,0.003,0.002,0.015206961302967337,0.1315187143673299,,0.17778249787595582
Ethiopia,2023,ETH,128691695.0,,17.571,0.137,23.246,0.181,312.391,0.046,0.017,1.590409177581497,0.01068907312635831,32.29753571225313,0.029099405267629566
Faroe Islands,2023,FRO,54738.0,,0.714,13.038,,,32.936,0.002,0.002,0.0006764680313089045,2.956532914246045,,2.7693288020390825
Fiji,2023,FJI,924150.0,,1.382,1.496,,,52.621,0.004,0.003,0.011420912914869453,0.2626760244440837,,0.3177570093457944
Finland,2023,FIN,5601185.0,,31.799,5.677,47.462,8.474,3295.003,0.083,0.182,0.06922106379383548,2.6292574835610676,49.25626592031197,1.2058198810535259
France,2023,FRA,66438828.0,,270.263,4.068,407.365,6.131,39783.41,0.709,2.197,0.8210702469880324,2.675775925457475,50.7291046129141,0.8640611724723873
French Polynesia,2023,PYF,281125.0,,0.882,3.139,,,34.097,0.002,0.002,0.0034742240363498074,0.5756681143975101,,0.6667374681393372
Gabon,2023,GAB,2484790.0,,5.321,2.141,,,301.686,0.014,0.017,0.030707753288685243,0.5536061150479518,,0.45475785896346643
Gambia,2023,GMB,2697846.0,,0.773,0.286,,,16.874,0.002,0.001,0.033340760941112255,0.029993316642239774,,0.06074766355140186
Georgia,2023,GEO,3807494.0,,11.922,3.131,15.366,4.036,650.6,0.031,0.036,0.04705411177610556,0.7650766031095517,28.887770508303966,0.6650382327952421
Germany,2023,DEU,84548233.0,,593.766,7.023,768.481,9.089,94563.352,1.559,5.223,1.0448715102516817,4.998700748134973,29.42489128714006,1.491716227697536
Ghana,2023,GHA,33787916.0,,20.136,0.596,26.373,0.781,405.514,0.053,0.022,0.4175608355904606,0.05268693355517991,30.974374255065563,0.1265930331350892
Greece,2023,GRC,10242910.0,,51.988,5.076,67.191,6.56,4243.417,0.136,0.234,0.12658484348303356,1.8485625416234255,29.243286912364397,1.0781648258283771
Greenland,2023,GRL,55951.0,,0.609,10.884,,,34.575,0.002,0.002,0.0006914586360437816,2.8924362149023253,,2.311809685641461
Grenada,2023,GRD,117094.0,,0.363,3.1,,,9.272,0.001,0.001,0.0014470815093369296,0.691046076912566,,0.6584536958368734
Guatemala,2023,GTM,18124841.0,,19.736,1.089,25.449,1.404,495.886,0.052,0.027,0.2239920258149168,0.1205400053942542,28.947101743007707,0.23130841121495327
Guinea,2023,GIN,14405469.0,,3.875,0.269,6.399,0.444,101.91,0.01,0.006,0.17802695119499165,0.03370276219260893,65.13548387096775,0.05713678844519966
Guinea-Bissau,2023,GNB,2153343.0,,0.329,0.153,,,7.943,0.001,0.0,0.026611635425898103,0.0,,0.03249787595581988
Guyana,2023,GUY,826357.0,,4.379,5.299,,,112.831,0.011,0.006,0.010212358744351864,0.5875234262915423,,1.1255310110450298
Haiti,2023,HTI,11637402.0,,2.865,0.246,,,85.874,0.008,0.005,0.14381837883171303,0.0347660712115986,,0.05225148683092608
Honduras,2023,HND,10644853.0,,12.404,1.165,10.458,0.982,297.385,0.033,0.016,0.13155217129750238,0.12162475041036265,-15.68848758465011,0.24745114698385726
Hong Kong,2023,HKG,7442738.0,,32.957,4.428,144.164,19.37,1716.977,0.087,0.095,0.09197950824670198,1.032838746486844,337.43059137664227,0.9405267629566695
Hungary,2023,HUN,9686465.0,,40.344,4.165,56.728,5.856,5143.875,0.106,0.284,0.1197081352788302,2.3724369220061186,40.61074757089035,0.8846644010195411
Iceland,2023,ISL,387559.0,,3.508,9.052,,,167.883,0.009,0.009,0.004789566183383531,1.879084588333647,,1.9226847918436702
India,2023,IND,1438069597.0,,3062.756,2.13,2543.215,1.768,62879.051,8.04,3.473,17.772079892721322,0.19541888293122017,-16.963186097749862,0.45242141036533556
Indonesia,2023,IDN,281190068.0,,762.358,2.711,728.167,2.59,16607.715,2.001,0.917,3.475028165508001,0.2638827532685472,-4.4849007946397785,0.5758283772302464
Iran,2023,IRN,90608708.0,,789.676,8.715,668.58,7.379,21018.006,2.073,1.161,1.1197686126676785,1.036821345826165,-15.334896843768837,1.8511045029736617
Iraq,2023,IRQ,45074055.0,,227.91,5.056,,,5117.109,0.598,0.283,0.5570382047016567,0.5080441478005473,,1.0739167374681393
Ireland,2023,IRL,5196629.0,,33.568,6.46,40.834,7.858,2333.115,0.088,0.129,0.06422144376982647,2.0086748666433567,21.645614871306023,1.3721325403568394
Israel,2023,ISR,9256311.0,,55.382,5.983,88.32,9.542,2554.999,0.145,0.141,0.11439216776924545,1.2326018708241326,59.474197392654645,1.2708156329651656
Italy,2023,ITA,59499452.0,,312.291,5.249,429.008,7.21,25704.014,0.82,1.42,0.7353114318827626,1.931154526408075,37.37443602281205,1.1149107901444348
Jamaica,2023,JAM,2839785.0,,8.069,2.841,8.334,2.935,476.8,0.021,0.026,0.03509488414429752,0.7408487200897249,3.2841739992563985,0.6034409515717927
Japan,2023,JPN,124370947.0,,986.91,7.935,1142.299,9.185,68650.406,2.591,3.792,1.5370121244677208,2.467124324938685,15.745002077190422,1.685429056924384
Jordan,2023,JOR,11439220.0,,23.119,2.021,31.817,2.781,770.175,0.061,0.043,0.14136918837205315,0.30416811820998285,37.62273454734201,0.42926932880203905
Kazakhstan,2023,KAZ,20330109.0,,286.175,14.076,212.657,10.46,14650.435,0.751,0.809,0.2512453654047543,3.2199598933763713,-25.68987507643924,2.989804587935429
Kenya,2023,KEN,55339007.0,,21.186,0.383,34.98,0.632,530.082,0.056,0.029,0.6838954495940605,0.042404142354234876,65.10903426791276,0.08135089209855564
Kiribati,2023,KIR,132540.0,,0.069,0.523,,,2.257,0.0,0.0,0.001637967643495966,0.0,,0.1110875106202209
Kuwait,2023,KWT,4838781.0,,123.169,25.454,122.346,25.284,3746.405,0.323,0.207,0.05979905471527882,3.46159318045392,-0.6681876121426604,5.406542056074766
Kyrgyzstan,2023,KGZ,7073523.0,,11.144,1.576,19.193,2.713,871.446,0.029,0.048,0.08741664251942445,0.5490945272730435,72.22720746590095,0.33474936278674594
Laos,2023,LAO,7665001.0,,24.157,3.152,14.825,1.934,218.608,0.063,0.012,0.09472629866730213,0.12668076520277036,-38.63062466365857,0.6694987255734919
Latvia,2023,LVA,1882399.0,,6.59,3.501,13.362,7.098,974.289,0.017,0.054,0.02326323113135026,2.3212596605820552,102.7617602427921,0.7436278674596432
Lebanon,2023,LBN,5773494.0,,15.559,2.695,,,779.075,0.041,0.043,0.07135050823840425,0.602658636380327,,0.572429906542056
Lesotho,2023,LSO,2311476.0,,2.494,1.079,,,69.759,0.007,0.004,0.028565888763524085,0.14002715032299706,,0.2291843670348343
Liberia,2023,LBR,5493035.0,,0.834,0.152,,,51.662,0.002,0.003,0.06788451482262611,0.04419270002648809,,0.03228547153780798
