country,year,iso_code,population,gdp,co2,co2_per_capita,consumption_co2,consumption_co2_per_capita,cumulative_co2,share_global_co2,share_global_cumulative_co2,share_population,fair_share_ratio,trade_gap_pct,times_world_avg
Norway,2023,NOR,5519167.0,,38.869,7.043,38.97,7.061,2750.112,0.102,0.152,0.06820746163460617,2.2284951874367995,0.2598471789858219,1.495964316057774
Oman,2023,OMN,5049267.0,,79.811,15.806,83.36,16.509,1590.691,0.21,0.088,0.06240030156459896,1.410249594850104,4.446755459773706,3.3572642310960066
Pakistan,2023,PAK,247504505.0,,186.861,0.755,220.106,0.889,5560.039,0.491,0.307,3.058732237886567,0.10036838014043421,17.79129941507324,0.16036533559898045
Palau,2023,PLW,17751.0,,0.216,12.18,,,11.173,0.001,0.001,0.0002193719906420469,4.55846709086812,,2.5870858113848767
Palestine,2023,PSE,5409201.0,,4.755,0.879,,,73.211,0.012,0.004,0.0668484700103065,0.05983682198535422,,0.18670348343245538
Panama,2023,PAN,4458758.0,,13.002,2.916,19.517,4.377,347.811,0.034,0.019,0.05510262059890439,0.34481118671836414,50.10767574219349,0.6193712829226847
Papua New Guinea,2023,PNG,10389638.0,,8.358,0.804,,,201.364,0.022,0.011,0.1283981505329421,0.08567101593241265,,0.1707731520815633
Paraguay,2023,PRY,6844150.0,,7.646,1.117,13.125,1.918,200.593,0.02,0.011,0.08458198466299169,0.130051334735504,71.65838346848025,0.2372557349192863
Peru,2023,PER,33845616.0,,66.065,1.952,78.884,2.331,2091.576,0.173,0.116,0.4182739088742219,0.27733023155140685,19.403617649284797,0.41461342395921835
Philippines,2023,PHL,114891199.0,,160.98,1.401,211.593,1.842,3808.761,0.423,0.21,1.4198586576464172,0.14790204565016332,31.44055162131942,0.2975785896346644
Poland,2023,POL,38762847.0,,283.243,7.307,273.856,7.065,28771.057,0.744,1.589,0.47904247137305483,3.317033655587011,-3.3141154415113525,1.5520390824129142
Portugal,2023,PRT,10430735.0,,37.622,3.607,47.46,4.55,2732.076,0.099,0.151,0.12890603914200166,1.1713958555010742,26.149593323055665,0.766142735768904
Qatar,2023,QAT,2979086.0,,119.544,40.128,82.228,27.602,2465.068,0.314,0.136,0.03681640618071393,3.6940053119916643,-31.215284748711774,8.523364485981308
Romania,2023,ROU,19118482.0,,67.866,3.55,78.251,4.093,8793.213,0.178,0.486,0.23627172860087556,2.056953673120073,15.30221318480536,0.754035683942226
Russia,2023,RUS,145440502.0,,1733.135,11.916,1405.982,9.667,121027.703,4.55,6.685,1.797395777348803,3.7192698927225236,-18.876371430961814,2.5310110450297367
Rwanda,2023,RWA,13954473.0,,2.016,0.144,3.517,0.252,35.282,0.005,0.002,0.17245341222301258,0.011597335038019707,74.45436507936508,0.030586236193712826
Saint Helena,2023,SHN,5316.0,,0.011,2.064,,,0.41,0.0,0.0,6.56966651035503e-05,0.0,,0.43840271877655057
Saint Kitts and Nevis,2023,KNA,46783.0,,0.25,5.347,,,7.775,0.001,0.0,0.0005781578411473652,0.0,,1.1357264231096007
Saint Lucia,2023,LCA,179291.0,,0.517,2.884,,,15.918,0.001,0.001,0.002215730019390639,0.45131852312720666,,0.6125743415463041
Saint Pierre and Miquelon,2023,SPM,5707.0,,0.053,9.335,,,3.84,0.0,0.0,7.052875615988743e-05,0.0,,1.9827952421410366
Saint Vincent and the Grenadines,2023,VCT,101331.0,,0.246,2.43,,,7.711,0.001,0.0,0.0012522777975184076,0.0,,0.516142735768904
Samoa,2023,WSM,216673.0,,0.235,1.084,,,7.524,0.001,0.0,0.0026777075842704203,0.0,,0.2302463891248938
Sao Tome and Principe,2023,STP,230882.0,,0.14,0.606,,,3.873,0.0,0.0,0.00285330651475506,0.0,,0.12871707731520815
Saudi Arabia,2023,SAU,33264289.0,,677.442,20.365,654.104,19.664,18328.205,1.778,1.012,0.41108970171947173,2.4617498219174325,-3.4450181712973165,4.325615972812234
Senegal,2023,SEN,18077573.0,,14.082,0.779,19.033,1.053,286.507,0.037,0.016,0.2234078742035333,0.07161788749407899,35.15835818775742,0.16546304163126593
Serbia,2023,SRB,6773204.0,,42.907,6.335,,,2882.871,0.113,0.159,0.083705213481194,1.8995232601099863,,1.3455819881053526
Seychelles,2023,SYC,127961.0,,0.641,5.012,,,15.461,0.002,0.001,0.0015813790374934913,0.6323594636647103,,1.0645709430756158
Sierra Leone,2023,SLE,8460523.0,,1.38,0.163,,,41.185,0.004,0.002,0.10455758956581729,0.019128214492177373,,0.03462192013593883
Singapore,2023,SGP,5789092.0,,51.068,8.821,186.926,32.289,2193.786,0.134,0.121,0.07154327283251358,1.691284102745301,266.03352392887916,1.8736193712829226
